영화제목,개봉일,예매매출액,예매관람수
나혼자 프린스,2025-11-19,"60,422,100","60,422,100"
정보원,2025-12-03,"51,628,100","51,628,100"
윗집 사람들,2025-12-03,"56,170,600","56,170,600"
몬스타엑스 : 커넥트 엑스 인 시네마,2025-12-03,"100,050,000","100,050,000"
퍼스트 라이드,2025-10-29,"30,345,700","30,345,700"
포레스텔라 : 더 웨이브 인 시네마,2025-11-19,"85,675,000","85,675,000"
세계의 주인,2025-10-22,"31,392,800","31,392,800"
에이티즈 브이알 콘서트 : 라이트 더 웨이,2025-12-05,"84,216,000","84,216,000"
맨홀,2025-11-19,"14,235,900","14,235,900"
통잠,2025-11-19,"9,654,600","9,654,600"
너와 나의 5분,2025-11-05,"9,368,500","9,368,500"
한란,2025-11-26,"8,190,300","8,190,300"
제이홉 투어 ‘홉 온 더 스테이지’ 더 무비,2025-11-12,"20,150,000","20,150,000"
극장판 똘똘이: 아기공룡의 비밀,2025-11-07,"5,245,100","5,245,100"
힘,2025-11-27,"4,741,000","4,741,000"
보스,2025-10-03,"2,785,000","2,785,000"
고당도,2025-12-10,"3,608,800","3,608,800"
구원자,2025-11-05,"2,323,500","2,323,500"
헤어질 결심,2022-06-29,"3,377,000","3,377,000"
고양이를 부탁해,2001-10-12,"2,775,000","2,775,000"
투모로우바이투게더 브이알 콘서트 : 하트 어택,2025-10-10,"7,755,000","7,755,000"
마사이 크로스,2025-11-20,"2,571,100","2,571,100"
어쩔수가없다,2025-09-24,"2,521,760","2,521,760"
멀고도 가까운,2025-12-03,"1,962,000","1,962,000"
달팽이 농구단,2025-11-12,"1,475,000","1,475,000"
나비잠,2018-09-06,"2,418,000","2,418,000"
지드래곤 인 시네마 [위버맨쉬],2025-10-29,"4,250,000","4,250,000"
"거짓말, 뱀파이어가 어디 있어?",-,"4,920,000","4,920,000"
만남의 집,2025-10-15,"1,700,000","1,700,000"
용한 소녀,-,"1,674,500","1,674,500"
바로 지금 여기,2025-09-17,"1,200,000","1,200,000"
지구의 주인은 고양이다,-,"1,071,200","1,071,200"
프랑켄슈타인 : 더 뮤지컬 라이브,2025-09-18,"3,358,600","3,358,600"
3670,2025-09-03,"1,336,000","1,336,000"
넌센스,2025-11-26,"1,797,000","1,797,000"
바람이 전하는 말,2025-11-05,"1,622,000","1,622,000"
전지적 독자 시점,2025-07-23,"1,736,000","1,736,000"
콩나물,-,"339,000","339,000"
로보카폴리 사막 구조대 이야기,-,"882,500","882,500"
나쁜 영화 감독판,-,"876,000","876,000"
날개는 베개 밑에 숨겨두었어,-,"840,000","840,000"
극장의 시간들,-,"959,000","959,000"
지구를 지켜라,2003-04-04,"804,000","804,000"
에스퍼의 빛,2025-11-05,"714,000","714,000"
리코더 시험,-,"203,000","203,000"
지금은맞고그때는틀리다,2015-09-24,"759,000","759,000"
마더,2009-05-28,"703,000","703,000"
사람과 고기,2025-10-07,"533,900","533,900"
미망,2024-11-20,"534,000","534,000"
제18회 스토리업쇼츠 섹션1. 남겨진 이들의 계절,-,"506,000","506,000"
종이 울리는 순간,2025-11-12,"609,000","609,000"
마루는 강쥐,-,"408,600","408,600"
고갈 감독판,-,"496,000","496,000"
엄마를 버리러 갑니다,2025-11-05,"520,900","520,900"
다시 쓰는 희노애락,-,"280,000","280,000"
제18회 스토리업쇼츠 섹션2. 불협화음의 시대,-,"312,000","312,000"
반짝반짝 달님이,-,"240,000","240,000"
나쁜계집애: 달려라 하니,2025-10-07,"322,000","322,000"
양양,2025-10-22,"249,000","249,000"
최초의 기억,2025-11-12,"273,000","273,000"
썬더버드,2022-09-21,"270,000","270,000"
1980 사북,2025-10-29,"204,000","204,000"
초콜릿,2025-11-19,"194,600","194,600"
직지루트; 테라 인코그니타,2025-11-12,"190,000","190,000"
브레드이발소: 베이커리타운의 악당들,2025-09-27,"138,300","138,300"
어쩌면 해피엔딩,2025-10-02,"131,000","131,000"
WDN 섹션 1: 경험의 가장자리,-,"140,000","140,000"
바얌섬,2025-10-29,"115,000","115,000"
샤샤 & 마일로,-,"88,000","88,000"
롤링스톤,-,"120,000","120,000"
하얀 차를 탄 여자,2025-10-29,"113,000","113,000"
3학년 2학기,2025-09-03,"81,000","81,000"
제27회 부산독립영화제 메이드 인 부산 4,-,"76,000","76,000"
WDN 섹션 2: 기억과 장소의 가장자리,-,"90,000","90,000"
도돌이 언덕에 난기류,-,"72,000","72,000"
제97회 작은영화영화제 - 떠나도 함께,-,"45,000","45,000"
산산조각 난 해,-,"45,000","45,000"
제27회 부산독립영화제 메이드 인 부산 3,-,"64,000","64,000"
제27회 부산독립영화제 스펙트럼 부산-나우 2,-,"60,000","60,000"
한 채,2024-11-20,"69,000","69,000"
연의 편지,2025-10-01,"58,500","58,500"
삼희 : The Adventure of 3 Joys,-,"56,000","56,000"
부력,-,"52,000","52,000"
10월의 어느 멋진 날에,-,"48,000","48,000"
재민이,-,"31,000","31,000"
"그래도, 사랑해.",-,"38,000","38,000"
한국인을 관두는 법,-,"32,000","32,000"
시네마 테러리스트,-,"32,000","32,000"
일단발광,-,"32,000","32,000"
제27회 부산독립영화제 스펙트럼 부산-나우 3,-,"28,000","28,000"
동에 번쩍 서에 번쩍,2025-11-26,"27,000","27,000"
손님,-,"12,000","12,000"
홍이,2025-09-24,"28,000","28,000"
"도토리 문화센터: Part1 고두리, 취미 지옥에 빠지다",-,"26,000","26,000"
얼굴,2025-09-11,"24,400","24,400"
트랜스-컨티넨탈-레일웨이,-,"24,000","24,000"
옹기와 장인,-,"20,000","20,000"
우리의 이름,-,"21,000","21,000"
여름이 지나가면,2025-07-09,"20,000","20,000"
망양 중복,-,"16,000","16,000"
제27회 부산독립영화제 스펙트럼 부산-리와인드,-,"16,000","16,000"
일과 날,2025-07-16,"16,000","16,000"
생명의 은인,2025-11-05,"15,000","15,000"
이로 인해 그대는 죽지 않을 것이다,-,"14,000","14,000"
제 5회 2030 청년영화제 제 5회 사전제작지원2,-,"14,000","14,000"
제 5회 2030 청년영화제 제 5회 사전제작지원1,-,"14,000","14,000"
2025년 11월 수요단편극장,-,"14,000","14,000"
제27회 부산독립영화제 특별상영 1,-,"14,000","14,000"
인디스데이 11월 단편,-,"11,000","11,000"
첫여름,-,"8,000","8,000"
뼈,-,"8,000","8,000"
디바 야누스,2025-10-22,"5,000","5,000"
